Site/ Sol Id*	Bank Name	Pin code 	City*	State	Branch*	Address	Amc Start date*	UPS Cap	Qty	Amc Expiry Date
P3ENJA04	HDFC Bank	431203	Jalna	Maharashtra	Maharashtra	Sr no 507 1A 2 Shop No 17 Vishal Complex Vishal Corner Aurangabad Road Jalna 431203	01-04-2022			31-03-2023
SING1514	SCB Bank	122021	Gurgaon	Haryana	Delhi	Kuehne Nagel Gurgaon Tower No 1 2 and 3 - 13th floor Named as 14th floor Tower 2- 14th Floor named as 15th floor Sector 62 Village Maidawas Gurgaon Haryana 122021	01-04-2022			31-03-2023
P3ENJA03	HDFC Bank	431203	Jalna	Maharashtra	Maharashtra	Malmatta 1 12 174 1 CTS no 10696 H N 1 12 174 Mahaveer Chowk Jalna 431203	01-04-2022			31-03-2023
P3ENNR71	HDFC Bank	441122	Nagpur	Maharashtra	Maharashtra	Malmataa No 436 Ward No 4 Satagao Wena Butibori Nagpur 441122	01-04-2022			31-03-2023
P3ENNK45	HDFC Bank	422010	NASHIK	Maharashtra	Maharashtra	Shop no 2 Riddhi apt chs survey no 323/1/2A  plot no -7/8/9B  at post pathardi  nashik-422010	01-04-2022			31-03-2023
P3ENNK37	HDFC Bank	422203	NASHIK	Maharashtra	Maharashtra	Shop no 5  survey no 5720  sankar nana heights sani chowk pamchavati nashik-422203	01-04-2022			31-03-2023
P3ENMM83	HDFC Bank	400047	Mumbai	Maharashtra	Maharashtra	"FDC Limited Gr Floor Sky Vista Building
next to Barfiwalla Colege DN Nagar Andheri west 400047"	01-04-2022			31-03-2023
PUON8041	Kotak Bank	411014	Pune	Maharashtra	Maharashtra	Ward No 2 Sr No 36 Yashwant Nagar Opp Datta Hotel Kharadi Pune 411014	01-04-2022			31-03-2023
P3ENNK66	HDFC Bank	422209	Nashik	Maharashtra	Maharashtra	Mayuri sankul gala no 3 old agra road pimpalgaon busvant Nashik 422209 	01-04-2022			31-03-2023
P3ENNK55	HDFC Bank	422009	Nashik	Maharashtra	Maharashtra	N 53 AJ1 27 7 5 scheme uttamnagar pawan nagar market cidco nashik 422009 	01-04-2022			31-03-2023
P3ENSV10	HDFC Bank	396230	Silvassa	Dadra & Nagar Haveli	Gujarat	Opp Cosmo city Masat Padri Pada near Kudacha Circle Kudacha Silvassa 396230	01-04-2022			31-03-2023
P3ENNK64	HDFC Bank	422303	Nashik	Maharashtra	Maharashtra	Gala no 18 Gatt no 1091 1092 1093 2 shanti nagar complex niphad nashik 422303	01-04-2022			31-03-2023
P3ENMD49	HDFC Bank	622001	PUDUKOTTAI	Tamil Nadu	Tamilnadu	No940Keezha Raja Veedhi Neikondanmaram BusstopPudhukottai- 622001	01-04-2022			31-03-2023
P3ENHL02	HDFC Bank	431513	Hingoli	Maharashtra	Maharashtra	City Survey No 4061 Sheet No 98 Shop No 4 Hingoli 431513	01-04-2022			31-03-2023
EN201013	IDFC First Bank	201014	Ghaziabad	Uttar Pradesh	Uttar Pradesh	Ahinsa Khand 1 Indirapuram Ghaziabad Uttar Pradesh 201014	01-04-2022			31-03-2023
P3ENBU57	HDFC Bank	560045	Bangalore	Karnataka	Karnataka	C/O ZENITH RESIDENCES ASSOCIATION ZENITH KARLE TOWN CENTRE NAGAVARA BANGALORE -560045	01-04-2022			31-03-2023
P3ENPE61	HDFC Bank	412114	Pune	Maharashtra	Maharashtra	Gatno228 Rameshwar MandirNavnirman HSG Society RupeenagarTalwadePune 412114	01-04-2022			31-03-2023
P3ENOD48	HDFC Bank	755051	Jajpur	Orissa	Orissa	AT-Kuakhia PO-Rasulpur PS-Kuakhia DIST-Jajpur PIN-755051 Odisha 	01-04-2022			31-03-2023
P3ENPE60	HDFC Bank	411062	Pune	Maharashtra	Maharashtra	Ghat no 1323 Shivkrupa Housing Society Morewasti Chikhli Pimpri Chicnchwad Pune - 411062	01-04-2022			31-03-2023
P3ENMD48	HDFC Bank	600073	Chennai	Tamil Nadu	Tamilnadu	Superette East Main Road Shankara Nagar Pammal chennai -600073	01-04-2022			31-03-2023
P3ENAP09	HDFC Bank	531019	Visakhapatnam	Andhra Pradesh	Andhra Pradesh	D No 6-33/9 Lankalapalem village ward no 56new 79 GVMC Visakhapatnam Andhra Pradesh 531019	01-04-2022			31-03-2023
P3ENPO25	HDFC Bank	605106	Pondicherry	Pondicherry	Tamilnadu	Pondy main road Kariyamanikkam Pondicherry - 605106	01-04-2022			31-03-2023
P3ENJR27	HDFC Bank	302013	Jaipur	Rajasthan	Rajasthan	Shop No31Sudamapuri IINindar modeHarmadaSikar RoadJaipur -302013	01-04-2022			31-03-2023
P3ENAL52	HDFC Bank	211019	Allahabad	Uttar Pradesh	Uttar Pradesh	Ward No-2 Nayan Nagar Gate Jushi-211019	01-04-2022			31-03-2023
P3ENMD71	HDFC Bank	641687	Tirupur	Tamil Nadu	Tamilnadu	2942AMullai nagar Mangalam road PeriyanidipalayamTruppur - 641687	01-04-2022			31-03-2023
P3ENMD39	HDFC Bank	603109	Chennai	Tamil Nadu	Tamilnadu	No96SADRAS ROAD THIRUKALKUNDRUM-603109	01-04-2022			31-03-2023
P3ENMD67	HDFC Bank	641607	Tirupur	Tamil Nadu	Tamilnadu	No431Kongu main road tiruppur- 641607	01-04-2022			31-03-2023
P3ENAG46	HDFC Bank	431001	Aurangabad	Maharashtra	Maharashtra	P No 19 S No 25 2 Jai Bhavani Nagar Railway Station Road Mukundwadi Aurangabad Maharashtra 431001	01-04-2022			31-03-2023
